gesture cancelar
39.0602 239.079 1121.11
63.044 243.401 1126.33
89.9554 245.574 1133.63
115.053 248.06 1141.19
139.401 242.834 1153.6
159.348 237.712 1166.92
177.087 227.747 1182.42
194.075 216.416 1196.87
208.279 204.733 1210.93
220.157 189.532 1227.64
229.74 172.06 1245.07
235.635 151.764 1263.67
238.316 132.237 1280.93
240.106 112.776 1297.78
238.018 91.0035 1317.22
235.047 71.6521 1332.26
225.537 52.9624 1345.98
222.971 33.2359 1359.23
215.231 15.4714 1373.37
203.971 -1.20646 1385.98
193.418 -16.0362 1401.14
177.736 -29.9178 1417.07
165.766 -39.2968 1428.28
155.287 -45.9668 1440.93
145.787 -53.0748 1449.98
137.07 -55.5169 1452
129.912 -57.7074 1453.18
123.754 -60.1048 1458.63
112.276 -64.9885 1465.42
108.482 -68.2292 1470.79
100.995 -71.4642 1476.5
100.373 -73.0767 1475.4
93.9533 -75.4091 1478.45
90.4509 -75.7817 1481.4
87.1243 -77.5752 1485.32
82.9304 -80.3925 1487
83.1552 -81.392 1485.01
85.2091 -82.3657 1484.79
80.6605 -80.0493 1481.06
84.7813 -81.3736 1486.1
84.3472 -79.5497 1486.45
87.1094 -79.0591 1485.26

gesture paisagem
-144.846 -53.2782 1472.06
-144.836 -52.4137 1471.64
-144.442 -52.5592 1470.28
-142.982 -52.5177 1470.86
-143.769 -50.8139 1469.18
-142.404 -54.8753 1471.95
-144.434 -55.3177 1469.72
-145.236 -54.5657 1470.57
-146.283 -54.2637 1468.37
-149.155 -53.7533 1467.84
-156.423 -54.1547 1464.42
-152.739 -49.9144 1465.07
-152.781 -46.712 1458.9
-157.448 -43.6303 1457.48
-177.076 -33.2678 1450.29
-203.525 -24.7609 1429.64
-213.039 -11.6311 1410.81
-227.524 -1.41873 1391.36
-243.325 10.5182 1370.13
-250.077 25.3405 1349.67
-250.114 38.8888 1328.9
-245.418 57.0838 1308.98
-240.131 73.1269 1285.44
-235.08 91.5105 1259.34
-226.498 109.603 1231.25
-217.256 127.959 1207.09
-200.943 143.788 1182.33
-173.713 157.68 1169.93
-143.966 170.804 1161.05
-105.604 180.942 1153.75
-62.9904 195.059 1140.44
-30.1172 206.588 1131.29
7.37674 215.779 1124.36
36.3729 225.472 1119.37
64.3577 230.888 1119.3
100.089 228.433 1129.81
130.241 226.776 1139.75
155.929 224.157 1149.56
184.831 216.248 1164.92
207.32 205.797 1180.89
227.686 195.597 1195.74
243.583 183.558 1212.07
256.85 170.485 1229.15
264.93 156.235 1247.86
273.795 140.447 1265.53
275.253 125.602 1285.32
276.291 111.159 1300.43
271.626 95.5708 1318.21
266.836 80.9369 1335.07
260.202 70.2874 1348.65
248.358 56.8587 1366.95
236.576 43.8121 1382.71
220.962 33.2191 1400.46
205.561 20.5945 1419.51
190.672 12.9591 1433.2
179.832 4.35527 1440.86
165.979 -4.4255 1453.09
151.469 -11.2948 1465.09
135.168 -16.6342 1477.18
127.371 -25.4477 1492.79
114.661 -28.5486 1499.91
104.797 -29.8097 1501.08
102.075 -32.0337 1504.25
97.5286 -35.8573 1508.97
93.3497 -40.4666 1511.77
88.0073 -42.1548 1511.67
88.4983 -47.5946 1516.54
83.4474 -47.5288 1515.24
78.6786 -45.8489 1512.17
82.9042 -49.7432 1510.64
86.0193 -51.2789 1508.56
85.1392 -50.4315 1506.91
86.8309 -50.3995 1503.8
89.4616 -51.1703 1501.3
85.6246 -49.1396 1501.32
81.2349 -50.612 1507.54
78.4542 -52.7645 1511.12
75.0222 -54.5249 1512.99
71.7982 -52.3058 1512.18
74.6107 -54.6129 1508.06
73.4776 -53.2441 1505.29
74.5458 -54.298 1504.5
77.6456 -56.5875 1506.99
73.1994 -50.9099 1502.66
73.9788 -51.1515 1499.92
74.7611 -53.0643 1500.08

gesture paisagem
-143.161 -62.3985 1466.19
-141.667 -63.1584 1465.65
-142.809 -61.7294 1464.84
-144.284 -61.3358 1465.98
-143.532 -61.6999 1464.72
-144.1 -61.1422 1464.7
-142.971 -61.9709 1464.35
-142.292 -61.8718 1464.47
-142.656 -62.3029 1463.42
-143.079 -62.2428 1464.06
-141.751 -62.2402 1463.69
-142.672 -61.7568 1463.42
-142.514 -59.952 1462.97
-146.309 -57.0129 1456.44
-163.252 -49.9588 1447.5
-179.351 -41.757 1438.46
-190.93 -32.4298 1425.27
-207.873 -18.817 1405.59
-227.706 -7.78018 1391.13
-241.513 7.11939 1367.86
-242.32 21.5091 1349.31
-244.82 36.5653 1329.46
-246.237 49.3528 1316.79
-243.248 64.8773 1301.1
-239.934 74.2478 1291.44
-240.439 87.0282 1275.31
-233.425 105.316 1250.08
-219.297 122.382 1225.38
-196.864 139.154 1204.29
-168.329 153.297 1186.18
-135.729 170.479 1169.8
-84.5538 187.709 1141.94
-49.8497 201.294 1128.21
-13.7621 207.795 1124.44
16.8479 212.327 1123.36
42.5075 213.728 1126.44
70.9837 212.663 1130.73
96.5781 207.817 1140.14
125.907 199.466 1149.82
148.936 188.789 1160.27
171.617 176.054 1173.39
187.695 161.708 1188.96
203.608 144.682 1206.95
210.555 127.293 1226.58
217.02 109.62 1247.87
220.194 91.3746 1268.13
217.994 73.7764 1289.05
213.673 57.769 1305.13
209.313 43.6379 1320.44
204.007 26.7682 1338.91
198.216 11.7986 1352.67
190.008 -0.899529 1370.58
177.884 -16.5537 1393.94
165.515 -27.4025 1412.61
158.682 -37.5156 1425.28
150.725 -44.3778 1433.58
143.085 -45.7522 1433.86
139.313 -49.546 1436.54
133.092 -56.3658 1445.39
121.459 -64.4313 1468.64
116.094 -62.1656 1467.02
112.338 -63.121 1464.98
104.669 -70.89 1485.13
97.5363 -70.6213 1486.99
94.3103 -70.563 1484.87
91.3982 -70.7401 1486.84
92.4784 -71.2669 1490.39
89.34 -72.775 1494.44
89.5192 -72.7883 1494.35
87.5582 -72.3563 1493.68
86.1835 -73.1472 1493.67
83.0631 -72.9659 1488.81
84.4392 -74.8609 1491.27
